forecast_origin,pickup_hour,pickup_zone_name,lead_hour,baseline_forecast,improved_forecast
2026-04-01,2026-04-01 11:00:00,LaGuardia Airport,12,178.8653846153846,122.62680905227612
2026-04-01,2026-04-01 11:00:00,Murray Hill,12,198.76923076923077,186.2539215191573
2026-04-01,2026-04-01 12:00:00,Upper East Side South,13,432.3269230769231,365.6107226321912
2026-04-01,2026-04-01 12:00:00,JFK Airport,13,171.6346153846154,147.99714314015742
2026-04-01,2026-04-01 12:00:00,Midtown Center,13,322.03846153846155,291.90325191644325
2026-04-01,2026-04-01 12:00:00,Upper East Side North,13,389.28846153846155,349.3277805540443
2026-04-01,2026-04-01 12:00:00,Penn Station/Madison Sq West,13,210.96153846153845,217.46498757074144
2026-04-01,2026-04-01 12:00:00,Midtown East,13,230.53846153846155,213.20552754290566
2026-04-01,2026-04-01 12:00:00,Times Sq/Theatre District,13,165.78846153846155,165.91618755949787
2026-04-01,2026-04-01 12:00:00,Lincoln Square East,13,201.67307692307693,185.54017020281296
2026-04-01,2026-04-01 12:00:00,LaGuardia Airport,13,192.07692307692307,131.05595625755132
2026-04-01,2026-04-01 12:00:00,Murray Hill,13,214.48076923076923,204.89641807166143
2026-04-01,2026-04-01 13:00:00,Upper East Side South,14,443.09615384615387,404.3041700986556
2026-04-01,2026-04-01 13:00:00,JFK Airport,14,209.0,175.32372155220656
2026-04-01,2026-04-01 13:00:00,Midtown Center,14,357.36538461538464,329.4514150397899
2026-04-01,2026-04-01 13:00:00,Upper East Side North,14,359.5769230769231,323.6543890834033
2026-04-01,2026-04-01 13:00:00,Penn Station/Madison Sq West,14,229.23076923076923,212.5962203381946
2026-04-01,2026-04-01 13:00:00,Midtown East,14,242.65384615384616,230.060715917275
2026-04-01,2026-04-01 13:00:00,Times Sq/Theatre District,14,176.8653846153846,170.9686258587699
2026-04-01,2026-04-01 13:00:00,Lincoln Square East,14,205.5,194.49548216772826
2026-04-01,2026-04-01 13:00:00,LaGuardia Airport,14,194.17307692307693,134.1756897309887
2026-04-01,2026-04-01 13:00:00,Murray Hill,14,214.46153846153845,203.05037564003993
2026-04-01,2026-04-01 14:00:00,Upper East Side South,15,499.7692307692308,449.14244073522826
2026-04-01,2026-04-01 14:00:00,JFK Airport,15,288.90384615384613,225.89892860106684
